Feature,Logistic Regression,Decision Tree,Knn,Random Forest
Maldi (46 feat),0.967741935483871,0.935483870967742,0.935483870967742,0.935483870967742
Maldi with PCA,1,0.903225806451613,0.967741935483871,0.935483870967742
Maldi with PCA2,0.903225806451613,0.967741935483871,0.935483870967742,0.903225806451613
Maldi with 10 features,0.967741935483871,0.935483870967742,0.967741935483871,0.935483870967742
