Target,Dataframe,Model,Accuracy,St. Dev.,Precision,Recall,F1-Score,Bal. Accuracy,Silhouette,Calinski,Davies
subspecies,maldi,K-means,0.35251798561151076,0.0,0.3672017609792763,0.35251798561151076,0.20892462500587766,0.3546099290780142,0.9669669996565157,1162.5153260661916,0.14463385718606497
subspecies,animals,K-means,0.8273381294964028,0.0,0.8604181589793101,0.8273381294964028,0.8288507655414129,0.826549491211841,0.8117271587242958,422.51161955624667,0.3619081162027445
subspecies,agg,K-means,0.8848920863309353,0.0,0.9086075401973503,0.8848920863309353,0.8794566437182467,0.8840579710144928,0.7601395992516887,584.881577710315,0.3476957529419075
