Target,Model,Accuracy CV,St. Dev. CV,Precision CV,Recall CV,F1-Score CV,Accuracy
tetO,LogisticRegression,0.732,0.014696938456699081,0.5360400000000001,0.732,0.6188172757475082,0.7741935483870968
tetO,LogisticRegression_Best,0.8046666666666666,0.040074929819027764,0.8358313174239947,0.8046666666666666,0.7654023227193958,0.7419354838709677
tetO,LogisticRegression_PCA,0.732,0.014696938456699081,0.5360400000000001,0.732,0.6188172757475082,0.7741935483870968
tetO,LogisticRegression_Best_PCA,0.7646666666666666,0.05709057131727909,0.7578808688387635,0.7646666666666666,0.7528044781667073,0.7419354838709677
tetO,Ridge,0.732,0.014696938456699081,0.5360400000000001,0.732,0.6188172757475082,0.7741935483870968
tetO,Ridge_Best,0.732,0.014696938456699081,0.5360400000000001,0.732,0.6188172757475082,0.7741935483870968
tetO,Ridge_PCA,0.732,0.014696938456699081,0.5360400000000001,0.732,0.6188172757475082,0.7741935483870968
tetO,Ridge_Best_PCA,0.732,0.014696938456699081,0.5360400000000001,0.732,0.6188172757475082,0.7741935483870968
tetO,DecisionTree,0.7723333333333333,0.05429958051812594,0.7732635018919849,0.7723333333333333,0.7701977982968695,0.6451612903225806
tetO,DecisionTree_Best,0.796,0.05439158431636684,0.8186125351742527,0.796,0.7765610198780931,0.7419354838709677
tetO,DecisionTree_PCA,0.7226666666666667,0.06332982446420227,0.7344179197994987,0.7226666666666667,0.7233549026490202,0.6129032258064516
tetO,DecisionTree_Best_PCA,0.74,0.031216092715848406,0.6619723569794049,0.74,0.676175908126829,0.7741935483870968
tetO,K-nn,0.8210000000000001,0.04141389997465961,0.8237518341307816,0.8210000000000001,0.8105791430001956,0.6774193548387096
tetO,K-nn_Best,0.8286666666666667,0.042023802778901394,0.8246115288220551,0.8286666666666667,0.8180475860475861,0.7419354838709677
tetO,K-nn_PCA,0.8206666666666667,0.0346506373197762,0.8123829573934837,0.8206666666666667,0.8105726749937275,0.6774193548387096
tetO,K-nn_Best_PCA,0.8286666666666667,0.042023802778901394,0.8246115288220551,0.8286666666666667,0.8180475860475861,0.7096774193548387
tetO,RandomForest,0.8290000000000001,0.0188443920334701,0.8314430622009569,0.8290000000000001,0.8173533341954394,0.7419354838709677
tetO,RandomForest_Best,0.8530000000000001,0.035596504197899996,0.8634089769879244,0.8530000000000001,0.8397044037044037,0.7419354838709677
tetO,RandomForest_PCA,0.797,0.023390406390465125,0.7950109820004557,0.797,0.7813516099831889,0.7096774193548387
tetO,RandomForest_Best_PCA,0.812,0.05891047822284625,0.8092541943093027,0.812,0.8068962237383289,0.7741935483870968
tetO,BernoulliNB,0.732,0.014696938456699081,0.5360400000000001,0.732,0.6188172757475082,0.7741935483870968
tetO,BernoulliNB_Best,0.732,0.014696938456699081,0.5360400000000001,0.732,0.6188172757475082,0.7741935483870968
tetO,BernoulliNB_PCA,0.7316666666666667,0.06504699156080249,0.6804773007384772,0.7316666666666667,0.6873176022943464,0.7741935483870968
tetO,BernoulliNB_Best_PCA,0.732,0.014696938456699081,0.5360400000000001,0.732,0.6188172757475082,0.7741935483870968
tetO,GaussianNB,0.82,0.06460994075561781,0.8199580716497124,0.82,0.8141022049232575,0.7096774193548387
tetO,GaussianNB_Best,0.82,0.06460994075561781,0.8199580716497124,0.82,0.8141022049232575,0.7096774193548387
tetO,GaussianNB_PCA,0.8293333333333333,0.014966629547095742,0.8323904306220096,0.8293333333333333,0.818019622861728,0.7419354838709677
tetO,GaussianNB_Best_PCA,0.8453333333333333,0.017587874611030556,0.8493027113237639,0.8453333333333333,0.8344187912608965,0.7741935483870968
