Feature,Logistic Regression,Decision Tree,Knn,Random Forest
Maldi (46 feat),0.5806451612903226,0.5161290322580645,0.6774193548387096,0.5806451612903226
Maldi with PCA,0.45161290322580644,0.3548387096774194,0.7096774193548387,0.41935483870967744
Maldi with PCA2,0.5806451612903226,0.5483870967741935,0.6451612903225806,0.5806451612903226
Maldi with 10 features,0.5483870967741935,0.6129032258064516,0.7419354838709677,0.5806451612903226
