Target,Dataframe,Model,Accuracy,St. Dev.,Precision,Recall,F1-Score,Bal. Accuracy,Silhouette,Calinski,Davies
subspecies,maldi,K-means,0.3828125,0.0,0.40393165650406504,0.3828125,0.23876109467455622,0.35507246376811596,0.9637531483228523,1062.6775848924817,0.14573654175007977
subspecies,animals,K-means,0.75,0.0,0.7818271203830369,0.75,0.7540203651685393,0.7540257648953301,0.8678191881787461,682.1493294606316,0.2945513659298616
subspecies,agg,K-means,0.796875,0.0,0.811552576193521,0.796875,0.7953643941359625,0.7954911433172303,0.8194667018728288,783.1620173926243,0.2994909065054947
