ID Strain;Year;Region;Animal species of origin;Organ of origin;ST;Species;Putative Subspecies;LANCEFIELD GROUP;Haemolysis;2223,140967;2241,073989;2262,75751;2679,802856;2978,296408;3159,441237;3354,28405;3364,608472;3397,909861;3418,174965;3443,92179;3952,786854;4091,36986;4451,322399;4475,014345;4490,070134;4515,266689;4539,794508;4744,086475;5052,231151;5362,981449;5914,103743;5959,116466;6312,288749;6326,214406;6710,341788;6730,906818;6768,620734;6797,381802;6838,493584;6889,619768;6942,146487;7386,929024;7525,518221;7905,893368;8182,839667;9030,351844;9073,208159;9487,183195;10103,20284;10400,80576;10491,16654;10930,54833;13276,73249;14943,03835;15048,89449;Eritromicina;Ceftiofur;Tetraciclina;Gentamicina;Penicillina;Ampicillina;Sulfametossazolo_trimethoprim;Clindamicina;Enrofloxacin;aad(6);ANT(6)-Ia;APH(2'')-IIIa;APH(3')-IIIa;catS;dfrF;E. faecalis chloramphenicol acetyltransferase;Erm(47);ErmB;fexA;L._reuteri cat-TC;lmrP;lnuC;lnuD;lsaC;lsaE;mefE;optrA;poxtA;SAT-4;tet(40);tet(L);tetM;tetO;tetS;tetT;vatE;fbp54;gbs0630;gbs0631;gbs0632;hasC;lmb;mf2;mf3;scpA;sda;ska;slo;smeZ;spec;speg;spek;spel;spem
V227;2019;Lazio;Bovine;Milk;ST306;Streptococcus_dysgalactiae;Streptococcus dysgalactiae subsp. dysgalactiae;C;a;0,000495342;0,000227625;0,000157728;0,000288462;0,000557168;0,000326523;0,000193832;0,000792279;0,000562984;0,000374248;0,000414849;0,000568511;0,000502422;0,00110245;0,000546565;0,000346225;0,000391137;0,000348259;0,000620028;0,000302107;0,000513546;0,000195518;0,000900941;0,000597706;0,000120529;0,000409121;0,001122578;0,000505056;0,000779566;0,000467494;0,000663025;0,000386075;3,80004E-05;6,88071E-05;0,000706934;0,000542628;0,000239471;0,00026661;0,000714368;0,000256157;0,000191998;0,000165084;0,000211933;9,23858E-05;9,03191E-05;3,93684E-05;S;S;NS;NS;S;S;S;S;NS;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0
V230;2019;Campania;Bovine;Milk;ST298;Streptococcus_dysgalactiae;Streptococcus dysgalactiae subsp. dysgalactiae;C;a;0,000527997;0,000226059;0,000141656;0,000166916;0,000619148;0,000127444;0,00026537;0,000903878;0,000594266;0,000293392;0,00048618;0,000463065;0,000513894;0,001290097;0,000420305;0,000392079;0,000347167;0,000210445;0,000418838;0,000147572;0,000320443;0,00026613;0,001062701;0,000503939;0,000112236;0,000603334;0,001426842;0,00068219;0,000893913;0,000467437;0,000848181;0,000382867;4,43717E-05;5,53532E-05;0,000621986;0,000584844;0,000199393;0,000159845;0,000539927;0,000147458;0,000107095;8,28278E-05;0,000179532;4,09587E-05;4,68487E-05;3,21176E-05;NS;S;S;S;S;S;S;S;NS;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
V231;2019;NA;Cat;Ear;ST9;Streptococcus_canis;Streptococcus canis;G;b;0,000300552;8,50834E-05;0,000116514;0,00019633;0,000381914;0,000354185;0,000361506;0,000265807;0,000420116;0,000517116;0,000187859;0,00040911;0,000469318;0,000723189;0,000229077;0,000206159;0,000389048;0,000545934;0,000446994;0,000312202;0,000353347;0,000100658;0,000651127;0,000116967;0,000560395;0,000660753;0,000373695;0,00037881;0,000630306;0,000884037;0,000297755;0,000265318;0,000378325;0,000120471;0,000528283;0,000528394;0,000304118;0,000294972;0,000562977;0,000259705;0,000164047;0,000145701;0,000240207;7,85284E-05;9,50154E-05;7,41988E-05;S;S;S;NS;S;S;S;S;NS;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
V235;2019;Marche;Bovine;Milk;ST453;Streptococcus_dysgalactiae;Streptococcus dysgalactiae subsp. dysgalactiae;C;a;0,000519802;0,000241992;0,000154257;0,000180846;0,000605394;0,000306555;0,000209003;0,000880204;0,000593246;0,000296;0,000622098;0,0005565;0,000482296;0,001178605;0,000539621;0,000361343;0,000402163;0,000266852;0,000641705;0,000259837;0,000325843;0,000203615;0,000957477;0,000586393;0,000122539;0,000483215;0,001262587;0,000592017;0,0008279;0,000427107;0,000990451;0,00038956;3,80435E-05;6,52468E-05;0,000707172;0,000533564;0,00026182;0,000242801;0,000736474;0,000214292;0,000157297;0,000137127;3,26693E-05;6,17533E-05;6,73772E-05;4,04905E-05;NS;S;S;NS;S;S;S;S;NS;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
V237;2019;Lazio;Ovine;Skin;ST454;Streptococcus_dysgalactiae;Streptococcus dysgalactiae subsp. dysgalactiae;C;a;0,000548579;0,000212779;0,000136617;0,000282758;0,000567183;0,000294263;0,000208629;0,00083956;0,000565691;0,000365353;0,000440408;0,000540982;0,000483216;0,001247453;0,000556573;0,000360093;0,000395124;0,000266624;0,000613877;0,00024323;0,00053379;0,000208135;0,00097203;0,000603229;0,000131814;0,000488486;0,00122693;0,000553498;0,00082439;0,00045414;0,000755223;0,000379257;2,14308E-05;0,00010443;0,000708646;0,000542183;0,0002262;0,000231358;0,000752766;0,000208381;0,000174574;0,000142156;0,000196307;6,23759E-05;6,34267E-05;8,45566E-05;S;S;S;S;S;S;S;S;S;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
V239;2019;Piemonte;Goat;Pus;ST302;Streptococcus_dysgalactiae;Streptococcus dysgalactiae subsp. dysgalactiae;C;a;0,000424465;0,000202737;0,000143836;0,000160291;0,000491288;0,000211756;0,000199353;0,000829559;0,000538588;0,00027462;0,000543049;0,000532511;0,000491781;0,001078515;0,000452022;0,000314692;0,000351624;0,000262658;0,000757791;0,000286858;0,000301752;0,000174838;0,00085985;0,000502618;0,000100233;0,000482389;0,001298391;0,000586824;0,000803647;0,000429326;0,000925471;0,000370307;3,17706E-05;8,04312E-05;0,000692767;0,000564711;0,000234192;0,000246672;0,00087956;0,000236025;0,000176604;0,000156557;0,000222573;6,88038E-05;8,18975E-05;5,025E-05;S;S;S;S;S;S;S;S;S;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
V240;2019;Sicilia;Swine;NA;ST649;Streptococcus_dysgalactiae;Streptococcus dysgalactiae subsp. equisimilis;C;b;0,000394623;0,00010122;0,000152895;4,40111E-05;0,000564099;0,000287501;8,77538E-05;0,000126725;0,000681374;0,000182217;0,000115629;0,000709468;0,000312025;0,001039453;0,000661838;0,000313259;0,00024593;0,00014634;0,000660559;0,000271992;0,00020421;0,000193338;0,000963891;6,04076E-05;0,000336105;8,09456E-05;0,0001701;0,000421816;0,00118534;0,000346031;0,000192406;0,000139638;0,000118312;0,000923345;0,000818204;0,000373655;6,87038E-05;8,75493E-05;0,000735194;9,42784E-05;7,42402E-05;6,09718E-05;9,65812E-05;7,26413E-05;0,000126263;0,000598409;NS;S;NS;NS;S;S;S;NS;NS;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
V246;2019;Umbria;Swine;Lung;ST620;Streptococcus_dysgalactiae;Streptococcus dysgalactiae subsp. equisimilis;A;b;0,000538421;0,000169511;0,000134322;0,000176162;0,000609305;0,00023437;0,000175849;0,000717349;0,000638796;0,000266765;0,000123935;0,000528068;0,000467928;0,001442038;0,000678795;0,000465678;0,00042295;0,00032196;0,00024676;0,000140521;0,000385268;0,000315175;0,001159948;0,000118294;0,000508849;0,000489427;0,001241129;0,000623767;0,001052261;0,000455365;0,000227832;0,000383187;0,000429836;0,000295586;0,000762244;0,000579622;0,000199786;0,000190248;0,000352103;0,000247;0,000116867;9,51458E-05;0,000162074;2,71969E-05;7,84658E-05;0,000231787;S;S;NS;NS;S;S;S;S;NS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
V247;2019;Toscana;Bovine;Milk;ST306;Streptococcus_dysgalactiae;Streptococcus dysgalactiae subsp. dysgalactiae;C;a;0,000571501;0,000229905;0,00016136;0,000149262;0,00066381;0,000268277;0,000251601;0,000978618;0,00066722;0,000278293;0,00036037;0,000619016;0,00048535;0,001354936;0,000590382;0,000416622;0,000416236;0,000247276;0,000390792;0,000230215;0,000293339;0,000269702;0,001138484;0,000574467;0,000105713;0,000611591;0,001441362;0,000721648;0,000982433;0,000444258;0,000637049;0,000334849;5,4775E-05;9,08444E-05;0,000817707;0,00055671;0,000212115;0,000171601;0,000487864;0,000217864;0,000118203;0,000100375;0,000178309;4,235E-05;5,91467E-05;4,04981E-05;NS;S;S;NS;S;S;S;S;NS;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0
V249;2019;Marche;Bovine;Milk;ST460;Streptococcus_dysgalactiae;Streptococcus dysgalactiae subsp. dysgalactiae;C;a;0,000368642;0,000184115;0,000123962;6,0001E-05;0,000441013;0,000173883;0,000197972;0,000750676;0,00051972;0,000249574;0,00050062;0,000414041;0,000510021;0,000954428;0,000319727;0,000293818;0,000317931;0,000247413;0,000587151;0,000212031;6,78622E-05;0,000177812;0,000763184;0,000482738;0,000113228;0,000454444;0,001197929;0,000541001;0,000778145;0,000389061;0,000843694;0,000295664;5,04385E-05;0,000145197;0,000558768;0,000586055;0,000208019;0,00020475;0,000741824;0,000159054;0,000147177;0,000101846;0,000193431;5,21349E-05;6,62173E-05;8,89653E-05;S;S;NS;S;S;S;S;NS;S;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
V252;2019;Lazio;Bovine;Milk;ST460;Streptococcus_dysgalactiae;Streptococcus dysgalactiae subsp. dysgalactiae;C;a;0,000397498;0,000195072;0,000242247;7,81012E-05;0,000531436;0,00017533;0,000185598;0,00077999;0,000506349;0,000372569;0,000508866;0,000479032;0,000561652;0,001003367;0,000381215;0,000290126;0,000355547;0,000239696;0,000598583;0,000209563;0,000135569;0,000195348;0,000866265;0,000504209;0,000106572;0,00043209;0,00116656;0,000492663;0,000745125;0,000487158;0,000866901;0,000358044;4,44104E-05;5,18642E-05;0,000636552;0,000572367;0,000257634;0,000231669;0,00073829;0,000182509;0,00018608;0,000135675;0,000205879;4,73056E-05;5,44156E-05;3,54589E-05;S;S;S;S;S;S;S;S;NS;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
V253;2019;NA;Dog;Lung;ST24;Streptococcus_canis;Streptococcus canis;G;b;0,000457077;0,000112513;0,000122874;0,000161663;0,000577905;0,000434086;0,000397184;0,000314209;0,000548123;0,000207545;0,000104977;0,000676226;0,000519;0,001199335;0,000368334;0,000319276;0,000331467;0,000327249;0,000577968;0,000184418;0,000313119;0,000388863;0,001021919;0,000164081;0,000736736;0,000720534;0,000470156;0,000329751;0,00080488;0,000309046;0,000128873;0,000161269;7,41456E-05;0,000345268;0,00086486;0,000581154;0,000198554;0,000184906;0,000715993;0,000102667;0,000116319;9,39197E-05;0,000157119;8,61811E-05;9,07403E-05;0,000234643;S;S;NS;NS;S;S;S;S;NS;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
V254;2019;NA;Bovine;Liver;ST460;Streptococcus_dysgalactiae;Streptococcus dysgalactiae subsp. dysgalactiae;C;a;0,000436636;0,000204968;0,000232215;8,27255E-05;0,000546042;0,000141448;0,000205914;0,000816494;0,000540837;0,000338413;0,000517958;0,000457374;0,000540717;0,001101907;0,000426839;0,000317922;0,00036703;0,000238331;0,000474162;0,000199016;0,000117288;0,000204392;0,000931622;0,000519815;0,000105156;0,000483521;0,001260806;0,00056175;0,000812829;0,000483296;0,000918191;0,000360587;3,90619E-05;7,35341E-05;0,000626751;0,000563208;0,000252107;0,000210413;0,00061199;0,000177528;0,000172904;0,000136623;0,000215645;4,88539E-05;6,11303E-05;4,943E-05;S;S;S;NS;S;S;S;S;NS;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
V283;2020;Marche;Bovine;Lung;ST338;Streptococcus_dysgalactiae;Streptococcus dysgalactiae subsp. equisimilis;C;b;0,000524038;0,000195725;0,000130453;5,07488E-05;0,000635475;0,000326559;0,000159218;0,000688191;0,000414785;0,000147063;9,33143E-05;0,000577896;0,000267494;0,001172187;0,000571904;0,000368407;0,000310045;0,000178434;0,000709434;0,000299618;9,5373E-05;0,000209839;0,001005497;7,37051E-05;0,000374;0,000351584;0,001056735;0,000465647;0,00058904;0,00022973;0,000140478;0,000120249;0,000122061;0,000644089;0,000672211;0,000293792;7,806E-05;8,33519E-05;0,000807549;6,57299E-05;5,3695E-05;4,48469E-05;8,96277E-05;5,2054E-05;9,55315E-05;0,000401323;S;S;S;NS;S;S;S;S;S;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0
V284;2020;Campania;Bovine;Milk;ST303;Streptococcus_dysgalactiae;Streptococcus dysgalactiae subsp. dysgalactiae;C;a;0,000669114;0,000247408;0,000173697;0,000129069;0,000666039;0,000316968;0,000218405;0,000844026;0,000566951;0,000258924;0,000615797;0,000574927;0,000463645;0,001443397;0,000625997;0,000455814;0,000441769;0,000248653;0,000528384;0,000210636;0,000194342;0,000250343;0,001049143;0,000598709;0,000117376;0,000461805;0,00126627;0,000581317;0,000774981;0,000373499;0,000957792;0,000350511;2,98591E-05;7,57219E-05;0,000690803;0,000490412;0,000209963;0,000159165;0,000606675;0,00017758;0,000108672;8,12295E-05;3,75068E-05;6,20749E-05;5,70725E-05;5,09613E-05;NS;S;S;NS;S;S;S;S;NS;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
V286;2020;Toscana;Bovine;Milk;ST306;Streptococcus_dysgalactiae;Streptococcus dysgalactiae subsp. dysgalactiae;C;a;0,000426618;0,000281991;0,000159558;0,000334831;0,000493464;0,000292873;0,000264664;0,000998721;0,000587028;0,000403778;0,000492672;0,000444392;0,000561704;0,000961826;0,000402648;0,000324218;0,000257388;0,000254794;0,000479719;0,000218634;0,000563882;0,000177745;0,000767709;0,000521921;0,000110622;0,000559349;0,001339929;0,0006614;0,000790893;0,000490692;0,000754916;0,00035993;0,000127304;0,00012288;0,000540698;0,000589214;9,2662E-05;0,000203772;0,000546091;0,000185456;0,00016729;0,000119709;0,000225156;5,52696E-05;6,84649E-05;3,09191E-05;NS;S;S;NS;S;S;S;S;S;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
V287;2020;Lazio;Bovine;Muscle;ST311;Streptococcus_dysgalactiae;Streptococcus dysgalactiae subsp. dysgalactiae;C;a;0,000450264;0,00030338;0,000170129;7,90975E-05;0,000541899;0,000219347;0,000267794;0,001056838;0,00059142;0,000413348;0,000762811;0,000561875;0,000539606;0,000935705;0,000398815;0,000298812;0,000335599;0,000252525;0,000658073;0,000259334;0,00010294;0,000164795;0,000809719;0,000521618;0,000110773;0,000520539;0,001396115;0,000636585;0,000753845;0,000433161;0,001072812;0,000386801;3,47172E-05;6,35117E-05;0,00064562;0,000534584;0,000201849;0,000204142;0,000683729;0,000197338;0,00016188;0,000114171;0,000176464;6,15283E-05;6,61524E-05;3,91084E-05;NS;S;S;S;S;S;S;S;NS;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
V288;2020;Marche;Bovine;Milk;ST460;Streptococcus_dysgalactiae;Streptococcus dysgalactiae subsp. dysgalactiae;C;a;0,000537902;0,000245341;0,000165701;8,04832E-05;0,000604022;0,000294236;0,000197218;0,00087996;0,000603949;0,000367911;0,000492368;0,000525514;0,000485993;0,001240237;0,000478483;0,000392009;0,000429917;0,000314527;0,000480126;0,000208548;0,000121137;0,000219989;0,000995418;0,000575486;0,000112825;0,000468789;0,001329834;0,000622232;0,000866262;0,000506606;0,000847738;0,000409308;3,04703E-05;8,25457E-05;0,000679288;0,000554176;0,000252773;0,000209823;0,000565717;0,000176948;0,000126809;9,75752E-05;0,000195457;4,73807E-05;4,93551E-05;4,71107E-05;NS;S;NS;S;S;S;S;NS;S;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
V289;2020;NA;Dog;Lung;ST2;Streptococcus_canis;Streptococcus canis;G;b;0,000442383;0,000156729;0,000143515;0,000148385;0,000510111;0,000420901;0,000646285;0,000502848;0,000543083;0,000304129;0,000150951;0,00042612;0,000610446;0,001013004;0,000303066;0,000274694;0,000392496;0,000364491;0,0004279;0,000314537;0,000250508;0,00039996;0,000807655;0,000145152;0,000660733;0,001031012;0,000627737;0,000424985;0,000738605;0,000416435;0,000184563;0,000193397;0,000555012;8,2069E-05;0,000533195;0,000640022;0,000283779;0,000210793;0,000493966;0,000241777;0,000106255;9,07189E-05;0,000210339;8,68014E-05;5,07463E-05;3,8465E-05;NS;S;NS;S;S;S;S;NS;NS;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
V290;2020;Piemonte;Goat;Brain;ST454;Streptococcus_dysgalactiae;Streptococcus dysgalactiae subsp. dysgalactiae;C;a;0,000496683;0,000282126;0,000171992;0,000199762;0,000579569;0,000226867;0,000250783;0,001004622;0,000620818;0,000326649;0,000726099;0,00053313;0,000507376;0,001092757;0,000405446;0,000328286;0,000315813;0,000210304;0,000695165;0,000252412;0,000332304;0,000180014;0,000896441;0,000502018;0,000110934;0,000510122;0,001382668;0,000627459;0,000831158;0,000432674;0,001067795;0,000381388;1,84798E-05;2,66158E-05;0,000627597;0,000536578;0,00018387;0,000162614;0,00073843;0,000191036;0,000116174;8,99672E-05;0,000167621;5,87857E-05;5,12818E-05;3,04654E-05;S;S;S;S;S;S;S;S;NS;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
V291;2020;NA;Dog;NA ;ST9;Streptococcus_canis;Streptococcus canis;G;b;0,000440095;0,000140452;0,000137082;0,000120178;0,000299179;0,000423676;0,000535837;0,000323886;0,00048554;0,000905453;0,000274733;0,000333725;0,000452686;0,001011897;0,000298922;0,000277123;0,000336177;0,000500138;0,000451843;0,000280793;0,000185694;0,000174016;0,000473052;0,000150687;0,000673068;0,000882315;0,000425267;0,000423916;0,000738369;0,001362417;0,000473787;0,000259985;7,65432E-05;5,63927E-05;0,000449168;0,000499412;0,000216393;0,000164942;0,000537809;0,000230467;7,66182E-05;6,04726E-05;0,000149664;7,2372E-05;4,49561E-05;3,70415E-05;S;S;S;NS;S;S;S;S;NS;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
V292;2020;Calabria;Bovine;Milk;ST702;Streptococcus_dysgalactiae;Streptococcus dysgalactiae subsp. dysgalactiae;C;a;0,000542647;0,000333241;0,000200459;0,000144771;0,000668091;0,000330854;0,000286395;0,001133223;0,000677244;0,000320984;0,000763255;0,000574631;0,000497858;0,001113055;0,000439868;0,00035243;0,000318862;0,000204383;0,00053738;0,000222743;0,000222177;0,000203961;0,000943414;0,000542381;0,000112468;0,000546421;0,001445599;0,000701919;0,0008296;0,000409205;0,001047168;0,000347927;3,16047E-05;4,11002E-05;0,000637995;0,000486359;0,00015291;0,000122024;0,000545902;0,000165996;6,29607E-05;5,72958E-05;2,83479E-05;4,13072E-05;4,10064E-05;2,37209E-05;S;S;NS;S;S;S;S;S;NS;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
V293;2020;Marche;Swine;Brain;ST338;Streptococcus_dysgalactiae;Streptococcus dysgalactiae subsp. equisimilis;C;b;0,000525112;0,000152836;0,000282541;0,000116892;0,000687925;0,000401612;8,08759E-05;0,000238724;0,000927346;0,00039083;0,000375855;0,000628238;0,000405742;0,001045344;0,000602086;0,000338621;0,000293851;0,000216128;0,000700351;0,000289272;0,000187894;0,000207451;0,000946866;8,30838E-05;0,000390228;8,42357E-05;0,00021393;0,000464137;0,001222747;0,0005784;0,000378098;0,000337405;0,000182646;0,00023307;0,000652185;0,000383188;8,98473E-05;0,000105836;0,000686907;0,000182671;7,32937E-05;5,59432E-05;9,96054E-05;5,83002E-05;4,59535E-05;0,00013861;NS;S;NS;NS;S;S;S;NS;S;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
V295;2020;Umbria;Bovine;Milk;ST460;Streptococcus_dysgalactiae;Streptococcus dysgalactiae subsp. dysgalactiae;C;a;0,000598004;0,000241478;0,000194699;6,61928E-05;0,000110653;6,55893E-05;0,000230892;0,000948168;0,000594772;0,000292466;0,000574105;0,000400899;0,000479423;0,001485658;0,000543268;0,000459993;0,000428646;0,000294948;5,36106E-05;0,00016915;8,72142E-05;0,001025647;0,000323943;0,00053707;0,000112898;0,00059628;0,001573043;0,000764521;0,000908942;0,000498102;0,00104675;0,000385212;3,38704E-05;0,000184578;0,000533669;0,000520459;0,000239726;0,000183087;7,73361E-05;0,000142354;0,000103055;9,15015E-05;0,000233388;4,49792E-05;5,7879E-05;0,00012442;S;S;NS;S;S;S;S;NS;S;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
V297;2020;NA;Cat;Liver;ST9;Streptococcus_canis;Streptococcus canis;G;b;0,000416775;0,000108554;0,000134156;8,03422E-05;0,000438349;0,000461992;0,000489787;0,000303918;0,000487999;0,00066642;0,000193623;0,000530214;0,000329919;0,000923725;0,000288378;0,000234882;0,00034683;0,000636578;0,000630346;0,000360293;0,000120587;0,000118068;0,000696083;0,00011678;0,00065376;0,000800107;0,000391995;0,000325514;0,000680421;0,001036359;0,000314393;0,000220707;0,000336738;0,000207777;0,00064925;0,000354694;0,000209288;0,000168615;0,000700826;0,000273493;6,28403E-05;5,84946E-05;0,000162545;7,82618E-05;4,70128E-05;0,000135556;S;S;S;S;S;S;S;S;S;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
V298;2020;Lazio;Bovine;Milk;ST306;Streptococcus_dysgalactiae;Streptococcus dysgalactiae subsp. dysgalactiae;C;a;0,000472381;0,000283444;0,000181104;0,000101778;0,000576797;0,000301641;0,0002384;0,001017426;0,000591962;0,00026656;0,000464062;0,000550524;0,00047465;0,001049882;0,000485154;0,000389975;0,00037518;0,000274742;0,000460819;0,000247668;0,000147082;0,00018689;0,000896082;0,000524079;0,000101694;0,000512526;0,00148118;0,000753199;0,000798402;0,000386035;0,000732466;0,000300776;6,75048E-05;0,000160939;0,000661294;0,000481593;0,000185398;0,000161268;0,000542159;0,000200133;9,70239E-05;7,85874E-05;0,000166581;4,68254E-05;5,29888E-05;7,32842E-05;NS;S;NS;S;S;S;S;S;S;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0
V299;2020;Marche;Bovine;Milk;ST302;Streptococcus_dysgalactiae;Streptococcus dysgalactiae subsp. dysgalactiae;C;a;0,000525937;0,000291615;0,00018776;9,41178E-05;0,000609639;0,000343222;0,000225168;0,001000273;0,000584105;0,00026486;0,000551489;0,000599154;0,000489275;0,001091551;0,000545876;0,000370876;0,000421461;0,000377474;0,000703508;0,000314677;0,00012262;0,000179597;0,000914728;0,000587975;0,000113469;0,00046717;0,001344597;0,000641816;0,000765842;0,000359854;0,000839122;0,000353536;2,68116E-05;7,9522E-05;0,000700247;0,000509431;0,000245986;0,000254921;0,000771718;0,00024631;0,000144397;0,00013041;0,000224891;7,10823E-05;8,06277E-05;4,72192E-05;NS;S;NS;NS;S;S;S;S;NS;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
V30;2004;NA;Dog;Vaginal swab;ST1;Streptococcus_canis;Streptococcus canis;G;b;0,000598509;0,000188383;0,000181555;0,000596813;0,000636544;0,000414808;0,000394056;0,000502218;0,00054554;0,000614414;0,000176873;0,000555714;0,000467948;0,001166601;0,000335453;0,000369565;0,000415133;0,000274297;0,000363555;0,000136967;0,000906791;0,000231621;0,00089841;0,000120609;0,000578791;0,000549577;0,000590502;0,000339968;0,000685436;0,000657901;0,00019924;0,000342609;0,00010479;0,000265675;0,000622365;0,000466261;0,000143958;0,000199027;0,000388128;6,16222E-05;0,00016783;0,000101372;0,000122752;8,96554E-05;6,31177E-05;0,000178576;S;S;S;NS;S;S;S;S;S;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
