ID Strain;Year;Region;Animal species of origin;Organ of origin;ST;Species;Putative Subspecies;LANCEFIELD GROUP;Haemolysis;2223,140967;2241,073989;2262,75751;2679,802856;2978,296408;3159,441237;3354,28405;3364,608472;3397,909861;3418,174965;3443,92179;3952,786854;4091,36986;4451,322399;4475,014345;4490,070134;4515,266689;4539,794508;4744,086475;5052,231151;5362,981449;5914,103743;5959,116466;6312,288749;6326,214406;6710,341788;6730,906818;6768,620734;6797,381802;6838,493584;6889,619768;6942,146487;7386,929024;7525,518221;7905,893368;8182,839667;9030,351844;9073,208159;9487,183195;10103,20284;10400,80576;10491,16654;10930,54833;13276,73249;14943,03835;15048,89449;Eritromicina;Ceftiofur;Tetraciclina;Gentamicina;Penicillina;Ampicillina;Sulfametossazolo_trimethoprim;Clindamicina;Enrofloxacin;aad(6);ANT(6)-Ia;APH(2'')-IIIa;APH(3')-IIIa;catS;dfrF;E. faecalis chloramphenicol acetyltransferase;Erm(47);ErmB;fexA;L._reuteri cat-TC;lmrP;lnuC;lnuD;lsaC;lsaE;mefE;optrA;poxtA;SAT-4;tet(40);tet(L);tetM;tetO;tetS;tetT;vatE;fbp54;gbs0630;gbs0631;gbs0632;hasC;lmb;mf2;mf3;scpA;sda;ska;slo;smeZ;spec;speg;spek;spel;spem
V197;2018;Lazio;Bovine;Milk;ST23;Streptococcus_canis;Streptococcus canis;G;b;0,000555764;0,000116884;9,26445E-05;7,04034E-05;0,000383571;0,000113321;0,000483144;0,000195871;0,000326357;0,000111739;7,36498E-05;0,00039671;0,000206997;0,001651894;0,000387357;0,000390403;0,00031216;0,000150245;0,000270411;0,000287822;0,000104944;7,56436E-05;0,000773691;6,39034E-05;0,000311351;0,000917647;0,00031938;0,000318615;0,000532809;0,000186939;8,26449E-05;7,2687E-05;7,00126E-05;0,001279305;0,000533766;0,00025428;0,000101331;5,56289E-05;0,000285511;0,000115399;3,15895E-05;4,08054E-05;0,000105712;3,37324E-05;0,00019137;0,000810625;NS;S;S;NS;S;S;S;S;S;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
V199;2018;Lazio;Bovine;Milk;ST23;Streptococcus_canis;Streptococcus canis;G;b;0,000466857;9,68014E-05;7,33698E-05;0,000116655;0,000300932;0,00017978;0,000373368;0,000150146;0,000232238;7,33869E-05;5,33208E-05;0,000466898;0,000153632;0,001396507;0,000348133;0,000283949;0,000211065;0,000111378;0,000286536;0,000269687;0,000134474;7,07802E-05;0,000618538;7,39711E-05;0,000356134;0,000697623;0,000242127;0,000206683;0,000369905;0,000122451;6,88361E-05;5,17101E-05;4,00817E-05;0,001512199;0,000628316;0,000200495;6,73276E-05;5,33557E-05;0,000354721;9,63358E-05;3,00136E-05;3,20803E-05;7,98686E-05;4,10108E-05;0,00023034;0,001019808;S;S;S;NS;S;S;S;S;NS;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
V200;2019;Umbria;Bovine;Milk;ST305;Streptococcus_dysgalactiae;Streptococcus dysgalactiae subsp. dysgalactiae;C;a;0,000503983;0,000221021;0,000137086;0,000118122;7,99534E-05;0,000358278;0,0002432;0,000957488;0,000607854;0,000280588;0,000477116;0,000617242;0,00059887;0,00133986;0,00030626;0,000329505;0,000411971;0,000228505;0,000728375;0,000303048;0,000176536;0,00090092;0,000172141;0,000708518;0,000141186;0,000575128;0,001518382;0,000558126;0,000894976;0,00044686;0,000839594;0,000330203;2,4384E-05;9,64971E-05;0,000785191;0,000654976;0,000291367;0,000197913;0,000832304;0,000245739;0,000100092;0,000126067;0,000311099;5,26102E-05;8,74428E-05;6,97131E-05;NS;S;NS;S;S;S;S;NS;NS;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
V210;2019;NA;Dog;Ear;ST21;Streptococcus_canis;Streptococcus canis;G;b;0,000656589;0,000173656;0,000194632;0,000192479;0,000647119;0,00042066;0,000577046;0,000446875;0,000719623;0,000299161;0,000137744;0,000672688;0,000538295;0,001461204;0,000446494;0,000462745;0,000430899;0,000312435;4,78412E-05;0,000246515;0,000376631;0,000791148;0,001087193;0,000198577;0,000826811;0,00101151;0,00066324;0,000454953;0,001005364;0,000408762;0,000185398;0,000288879;0,000391411;0,000242234;0,000857725;0,000596956;0,000234304;0,000182795;5,29436E-05;0,000211821;9,88148E-05;8,07552E-05;0,000157571;4,82278E-05;6,15294E-05;0,000184219;S;S;S;NS;S;S;S;S;NS;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
V211;2019;Marche;Bovine;Milk;ST460;Streptococcus_dysgalactiae;Streptococcus dysgalactiae subsp. dysgalactiae;C;a;0,000419184;0,000208906;0,000260786;0,000104147;0,000540412;0,000148239;0,000237293;0,000873624;0,000526899;0,000389977;0,000521221;0,000423762;0,000644255;0,001018663;0,000361581;0,000241773;0,000359175;0,000235019;0,000399587;0,000219431;0,000180106;0,000212268;0,000928798;0,000527048;9,93595E-05;0,000494932;0,0013029;0,000509007;0,000807953;0,0005361;0,000933472;0,000385238;4,23319E-05;8,20101E-05;0,000600381;0,000620254;0,00029262;0,000250963;0,00050556;0,000190328;0,000222125;0,000150408;0,000240672;3,50601E-05;5,85341E-05;4,85497E-05;NS;S;S;S;S;S;S;S;NS;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
V214;2019;Marche;Bovine;Milk;ST453;Streptococcus_dysgalactiae;Streptococcus dysgalactiae subsp. dysgalactiae;C;a;0,000479176;0,000203345;0,000144167;0,000198747;0,000560791;0,000266153;0,000243331;0,000873862;0,000604129;0,000307493;0,000593766;0,000485018;0,000529212;0,001217616;0,000457717;0,000352443;0,000365342;0,000231371;0,000385419;0,000190906;0,00037417;0,000261253;0,00101092;0,000592559;0,000124689;0,000590188;0,001362978;0,000642021;0,000925569;0,00048175;0,001047109;0,000420315;5,50621E-05;7,67397E-05;0,000682049;0,000642386;0,00027024;0,000214377;0,000503263;0,000183234;0,000158188;0,000118805;3,92706E-05;3,61959E-05;7,22108E-05;3,98256E-05;S;S;NS;NS;S;S;S;NS;NS;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
V216;2019;Marche;Swine;Lung;ST705;Streptococcus_dysgalactiae;Streptococcus dysgalactiae subsp. equisimilis;C;b;0,00071316;0,000193012;0,000177285;0,000147958;0,000134644;0,000383577;9,24212E-05;0,000236666;0,000551849;0,000398721;0,000282176;0,000563544;0,000411109;0,001344879;0,000454927;0,000431769;0,000359782;0,000305796;0,000511455;0,000138695;0,000244271;0,000901832;0,000239979;0,0001027;0,000500941;9,38146E-05;0,000319078;0,000235755;0,000719557;0,000547232;0,000330287;0,000350596;0,000179164;0,000385153;0,000619697;0,000400325;0,000140541;0,000177862;0,000552301;6,12672E-05;0,000111514;0,000103165;0,000149388;6,41439E-05;7,79899E-05;0,000238451;NS;S;NS;NS;S;S;S;NS;S;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
V217;2019;Lazio;Ovine;Pus;ST454;Streptococcus_dysgalactiae;Streptococcus dysgalactiae subsp. dysgalactiae;C;a;0,000699128;0,000340191;0,000221244;0,000241702;0,000721546;0,000376607;0,000278533;0,001070985;0,000687531;0,000389829;0,000729258;0,000572626;0,000589123;0,001264404;0,000426278;0,000336681;0,000352266;0,000237557;0,000604163;0,000240997;0,000379696;0,000207729;0,001002423;0,000590096;0,000114117;0,000513475;0,00129775;0,000555018;0,000821504;0,000418936;0,000976373;0,000379522;2,89788E-05;4,29962E-05;0,000633965;0,000571798;0,000216216;0,000197938;0,000613033;0,000188766;0,000145369;0,000116874;0,000212248;5,71924E-05;5,78916E-05;4,28506E-05;NS;S;NS;NS;S;S;S;S;NS;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
V220;2019;Umbria;Swine;Lung;ST704;Streptococcus_dysgalactiae;Streptococcus dysgalactiae subsp. equisimilis;C;b;0,000620358;0,000217649;0,000207924;0,000399966;0,000698263;0,000423647;0,000111378;0,000453842;0,000731435;0,000816337;0,000311191;0,000629814;0,000465223;0,001131462;0,00035199;0,000313479;0,000293511;0,000244549;0,000410258;0,000141006;0,000574641;0,000193532;0,000928412;0,000102224;0,000539855;0,000140251;0,000481379;0,000383582;0,000962549;0,000868837;0,000435208;0,000397815;0,000189092;0,000131565;0,000647045;0,000415919;0,000143352;0,000176036;0,000410753;0,000147879;0,000131665;9,88013E-05;0,000128058;3,96609E-05;4,27511E-05;8,74097E-05;NS;S;NS;S;S;S;S;NS;NS;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
V222;2020;NA;Dog;Lung;ST3;Streptococcus_canis;Streptococcus canis;G;b;0,000547323;0,000151324;0,000168093;0,000115767;0,000644222;0,000485602;0,001119684;0,00047491;0,000624875;0,0002705;0,000153343;0,000609675;0,000406427;0,001254682;0,000247259;0,000347875;0,000332932;0,000204232;0,000683758;0,000372732;0,00019664;8,22516E-05;0,000992813;0,000119107;0,000645633;0,001677427;0,000590395;0,000562236;0,00081834;0,000372798;0,000176958;0,000147299;0,000509215;0,000539909;0,000681;0,000404665;0,000183668;0,000152726;0,000717777;0,00022236;9,10108E-05;8,25183E-05;0,000159252;6,27169E-05;8,52135E-05;0,000320499;S;S;NS;NS;S;S;S;S;NS;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
