Feature,Logistic Regression,Decision Tree,Knn,Random Forest
Maldi (46 feat),0.3548387096774194,0.9354838709677419,0.9032258064516129,0.9354838709677419
Maldi with PCA,0.3548387096774194,0.7419354838709677,0.8064516129032258,0.8064516129032258
Maldi with PCA2,0.3548387096774194,0.4838709677419355,0.7096774193548387,0.45161290322580644
Maldi with 10 features,0.3548387096774194,0.9354838709677419,0.967741935483871,0.9354838709677419
