Feature,Logistic Regression,Decision Tree,Knn,Random Forest
Maldi (46 feat),0.6451612903225806,0.5161290322580645,0.6451612903225806,0.5806451612903226
Maldi with PCA,0.4838709677419355,0.4838709677419355,0.7096774193548387,0.5483870967741935
Maldi with PCA2,0.5806451612903226,0.5483870967741935,0.6774193548387096,0.6129032258064516
Maldi with 10 features,0.6129032258064516,0.6129032258064516,0.7741935483870968,0.5806451612903226
