Target,Model,Accuracy CV,St. Dev. CV,Precision CV,Recall CV,F1-Score CV,Accuracy
Tetraciclina,LogisticRegression,0.512,0.00979795897113272,0.26224,0.512,0.3468070175438596,0.3548387096774194
Tetraciclina,LogisticRegression_Best,0.5866666666666667,0.07625250451260238,0.5888738927738928,0.5866666666666667,0.5838505509150187,0.7419354838709677
Tetraciclina,LogisticRegression_PCA,0.512,0.00979795897113272,0.26224,0.512,0.3468070175438596,0.3548387096774194
Tetraciclina,LogisticRegression_Best_PCA,0.6593333333333333,0.056111001100002174,0.6637142857142858,0.6593333333333333,0.6581491841491842,0.6774193548387096
Tetraciclina,Ridge,0.512,0.00979795897113272,0.26224,0.512,0.3468070175438596,0.3548387096774194
Tetraciclina,Ridge_Best,0.5936666666666668,0.02145796925257475,0.6088746753246752,0.5936666666666668,0.5770545141133377,0.6774193548387096
Tetraciclina,Ridge_PCA,0.512,0.00979795897113272,0.26224,0.512,0.3468070175438596,0.3548387096774194
Tetraciclina,Ridge_Best_PCA,0.5196666666666667,0.08509080117406609,0.4722464985994398,0.5196666666666667,0.44774256854256855,0.3225806451612903
Tetraciclina,DecisionTree,0.5766666666666667,0.1592726523222922,0.5808911088911088,0.5766666666666667,0.5752006743880808,0.6774193548387096
Tetraciclina,DecisionTree_Best,0.65,0.04432205370291907,0.6571678321678323,0.65,0.6461771551786544,0.5483870967741935
Tetraciclina,DecisionTree_PCA,0.5286666666666667,0.10587938630557153,0.5289361194361194,0.5286666666666667,0.5231869535317811,0.5161290322580645
Tetraciclina,DecisionTree_Best_PCA,0.626,0.03014041214788616,0.632727355977356,0.626,0.6213625215364347,0.6774193548387096
Tetraciclina,K-nn,0.6503333333333333,0.054409966407308524,0.6564607588489941,0.6503333333333333,0.6454491426725311,0.6129032258064516
Tetraciclina,K-nn_Best,0.6666666666666666,0.08132240363721016,0.67623081232493,0.6666666666666666,0.6640594033985339,0.5806451612903226
Tetraciclina,K-nn_PCA,0.6496666666666666,0.10306632168980644,0.652471262071262,0.6496666666666666,0.6482658211353863,0.6774193548387096
Tetraciclina,K-nn_Best_PCA,0.675,0.0433589667773576,0.6800700632700633,0.675,0.6725775094470746,0.6451612903225806
Tetraciclina,RandomForest,0.6313333333333333,0.15563989776974857,0.6347425907425908,0.6313333333333333,0.6305975473801562,0.7096774193548387
Tetraciclina,RandomForest_Best,0.649,0.11708306642911452,0.6507312687312686,0.649,0.6476972174363478,0.6774193548387096
Tetraciclina,RandomForest_PCA,0.5930000000000001,0.07827586544466382,0.6056516816516817,0.5930000000000001,0.5890578291273945,0.7096774193548387
Tetraciclina,RandomForest_Best_PCA,0.6086666666666666,0.08394045508573325,0.6129530913530914,0.6086666666666666,0.6060481322220453,0.6774193548387096
Tetraciclina,BernoulliNB,0.6243333333333334,0.12376321478263778,0.6346850140056022,0.6243333333333334,0.6123414232733257,0.7419354838709677
Tetraciclina,BernoulliNB_Best,0.616,0.13550563743910352,0.6260190476190476,0.616,0.6055900621118012,0.7419354838709677
Tetraciclina,BernoulliNB_PCA,0.44733333333333336,0.037617962612442345,0.42791666666666667,0.44733333333333336,0.41986279368911517,0.3870967741935484
Tetraciclina,BernoulliNB_Best_PCA,0.512,0.00979795897113272,0.26224,0.512,0.3468070175438596,0.3548387096774194
Tetraciclina,GaussianNB,0.6493333333333333,0.06672164399786458,0.6620361416361416,0.6493333333333333,0.643139886493544,0.6774193548387096
Tetraciclina,GaussianNB_Best,0.6416666666666667,0.08416914187779535,0.6804858670741023,0.6416666666666667,0.6159346210537662,0.5161290322580645
Tetraciclina,GaussianNB_PCA,0.5453333333333333,0.07833971605201995,0.6145879481311975,0.5453333333333333,0.49054363564240716,0.6129032258064516
Tetraciclina,GaussianNB_Best_PCA,0.5453333333333333,0.07833971605201995,0.6145879481311975,0.5453333333333333,0.49054363564240716,0.6129032258064516
