Target,Model,Accuracy CV,St. Dev. CV,Precision CV,Recall CV,F1-Score CV,Accuracy
Eritromicina,LogisticRegression,0.512,0.00979795897113272,0.26224,0.512,0.3468070175438596,0.6451612903225806
Eritromicina,LogisticRegression_Best,0.568,0.0627375485654325,0.5717196333078686,0.568,0.5639469476051187,0.7096774193548387
Eritromicina,LogisticRegression_PCA,0.512,0.00979795897113272,0.26224,0.512,0.3468070175438596,0.6451612903225806
Eritromicina,LogisticRegression_Best_PCA,0.5596666666666668,0.09913178658286714,0.5604083916083916,0.5596666666666668,0.5584734299516908,0.6451612903225806
Eritromicina,Ridge,0.512,0.00979795897113272,0.26224,0.512,0.3468070175438596,0.6451612903225806
Eritromicina,Ridge_Best,0.5513333333333332,0.09936688471406244,0.5551350678733031,0.5513333333333332,0.5317597748744676,0.7096774193548387
Eritromicina,Ridge_PCA,0.512,0.00979795897113272,0.26224,0.512,0.3468070175438596,0.6451612903225806
Eritromicina,Ridge_Best_PCA,0.512,0.05153639490690049,0.37972743452834984,0.512,0.41318542568542566,0.5806451612903226
Eritromicina,DecisionTree,0.5843333333333334,0.06599326564969424,0.5963782416413996,0.5843333333333334,0.5742316380010335,0.6451612903225806
Eritromicina,DecisionTree_Best,0.561,0.028550150807151807,0.5796217817270449,0.561,0.5345005022352848,0.5806451612903226
Eritromicina,DecisionTree_PCA,0.5206666666666667,0.06756560597753203,0.5275258519258519,0.5206666666666667,0.5114557249513771,0.45161290322580644
Eritromicina,DecisionTree_Best_PCA,0.5690000000000001,0.020374275719914833,0.5742770533388181,0.5690000000000001,0.5629427191166322,0.5161290322580645
Eritromicina,K-nn,0.5846666666666668,0.05848456586523017,0.584935064935065,0.5846666666666668,0.580943359378142,0.7096774193548387
Eritromicina,K-nn_Best,0.6083333333333334,0.10039920318408906,0.6229256155093615,0.6083333333333334,0.5936799073985524,0.6451612903225806
Eritromicina,K-nn_PCA,0.601,0.08817659049379893,0.602817094017094,0.601,0.5985401426270992,0.6451612903225806
Eritromicina,K-nn_Best_PCA,0.5526666666666668,0.07249214516836366,0.5559584415584415,0.5526666666666668,0.5510292895510287,0.5161290322580645
Eritromicina,RandomForest,0.5433333333333333,0.09754201373994924,0.5491736459618812,0.5433333333333333,0.5385929199902214,0.7419354838709677
Eritromicina,RandomForest_Best,0.5606666666666666,0.09814162102684965,0.5631484985602632,0.5606666666666666,0.556624698639691,0.7741935483870968
Eritromicina,RandomForest_PCA,0.5363333333333334,0.056709787515031314,0.5403560371517029,0.5363333333333334,0.5205293344128308,0.6129032258064516
Eritromicina,RandomForest_Best_PCA,0.5613333333333334,0.04324863517435486,0.5703861315155432,0.5613333333333334,0.5474027682515017,0.5806451612903226
Eritromicina,BernoulliNB,0.6006666666666667,0.12384847372674583,0.6035691377765682,0.6006666666666667,0.5857262065062545,0.6774193548387096
Eritromicina,BernoulliNB_Best,0.5926666666666667,0.11137823445858312,0.5950563172637476,0.5926666666666667,0.5777262065062545,0.6774193548387096
Eritromicina,BernoulliNB_PCA,0.48666666666666664,0.07771743691090179,0.48452631578947364,0.48666666666666664,0.46424984933007013,0.3548387096774194
Eritromicina,BernoulliNB_Best_PCA,0.512,0.00979795897113272,0.26224,0.512,0.3468070175438596,0.6451612903225806
Eritromicina,GaussianNB,0.5193333333333334,0.09680220383166217,0.5207082251082251,0.5193333333333334,0.5172429985473463,0.6129032258064516
Eritromicina,GaussianNB_Best,0.5193333333333334,0.09680220383166217,0.5207082251082251,0.5193333333333334,0.5172429985473463,0.6129032258064516
Eritromicina,GaussianNB_PCA,0.41466666666666663,0.03937568341558587,0.3574684537430533,0.41466666666666663,0.3632320231318334,0.3548387096774194
Eritromicina,GaussianNB_Best_PCA,0.44699999999999995,0.021145002036204927,0.39141988304093567,0.44699999999999995,0.3815113019741003,0.3225806451612903
