Target,Model,Accuracy CV,St. Dev. CV,Precision CV,Recall CV,F1-Score CV,Accuracy
Clindamicina,LogisticRegression,0.748,0.014696938456699083,0.55972,0.748,0.6402464512231953,0.6774193548387096
Clindamicina,LogisticRegression_Best,0.7716666666666667,0.0449196814077947,0.7578345864661654,0.7716666666666667,0.7607901131901131,0.6451612903225806
Clindamicina,LogisticRegression_PCA,0.748,0.014696938456699083,0.55972,0.748,0.6402464512231953,0.6774193548387096
Clindamicina,LogisticRegression_Best_PCA,0.7236666666666667,0.05247644974441181,0.7318720330237358,0.7236666666666667,0.725069507069507,0.6774193548387096
Clindamicina,Ridge,0.748,0.014696938456699083,0.55972,0.748,0.6402464512231953,0.6774193548387096
Clindamicina,Ridge_Best,0.748,0.014696938456699083,0.55972,0.748,0.6402464512231953,0.6774193548387096
Clindamicina,Ridge_PCA,0.748,0.014696938456699083,0.55972,0.748,0.6402464512231953,0.6774193548387096
Clindamicina,Ridge_Best_PCA,0.748,0.014696938456699083,0.55972,0.748,0.6402464512231953,0.6774193548387096
Clindamicina,DecisionTree,0.7653333333333334,0.061013659672786935,0.7884987012987014,0.7653333333333334,0.7632402266519913,0.6774193548387096
Clindamicina,DecisionTree_Best,0.8773333333333333,0.0637495098020369,0.882902711323764,0.8773333333333333,0.8700679140679141,0.7741935483870968
Clindamicina,DecisionTree_PCA,0.666,0.044429719783046114,0.6914211017740428,0.666,0.6761641097641098,0.6129032258064516
Clindamicina,DecisionTree_Best_PCA,0.748,0.014696938456699083,0.55972,0.748,0.6402464512231953,0.6774193548387096
Clindamicina,K-nn,0.8613333333333333,0.04942334131426837,0.8559636363636363,0.8613333333333333,0.8503055198973042,0.7741935483870968
Clindamicina,K-nn_Best,0.8776666666666667,0.08071623821209156,0.8828380952380952,0.8776666666666667,0.8735492577597841,0.7419354838709677
Clindamicina,K-nn_PCA,0.837,0.028055500550001094,0.8590474308300395,0.837,0.8078054159789717,0.7419354838709677
Clindamicina,K-nn_Best_PCA,0.8206666666666667,0.0346506373197762,0.8436868059476754,0.8206666666666667,0.7847142559337681,0.7419354838709677
Clindamicina,RandomForest,0.8856666666666666,0.06007032915212338,0.892652084757348,0.8856666666666666,0.8734518238518237,0.7741935483870968
Clindamicina,RandomForest_Best,0.8783333333333333,0.024312776705080624,0.8827660818713449,0.8783333333333333,0.8721558396084712,0.6129032258064516
Clindamicina,RandomForest_PCA,0.756,0.036857081333774175,0.7532184175854656,0.756,0.7314636040294576,0.7419354838709677
Clindamicina,RandomForest_Best_PCA,0.7796666666666667,0.04568491119736483,0.7641341991341991,0.7796666666666667,0.7571952103238367,0.7419354838709677
Clindamicina,BernoulliNB,0.8456666666666667,0.052742561350182626,0.8488771929824562,0.8456666666666667,0.8455665535665535,0.8064516129032258
Clindamicina,BernoulliNB_Best,0.8539999999999999,0.05342284155677233,0.856421052631579,0.8539999999999999,0.8531013611013611,0.8064516129032258
Clindamicina,BernoulliNB_PCA,0.6910000000000001,0.04223742416388574,0.6908823529411765,0.6910000000000001,0.6864401095980044,0.6129032258064516
Clindamicina,BernoulliNB_Best_PCA,0.748,0.014696938456699083,0.55972,0.748,0.6402464512231953,0.6774193548387096
Clindamicina,GaussianNB,0.675,0.04208457093889769,0.6950359052711994,0.675,0.6816962346962347,0.6451612903225806
Clindamicina,GaussianNB_Best,0.675,0.06075451514999612,0.7094950711053652,0.675,0.6864877288274871,0.6451612903225806
Clindamicina,GaussianNB_PCA,0.325,0.05019960159204452,0.5465423103212577,0.325,0.31140654707611237,0.3225806451612903
Clindamicina,GaussianNB_Best_PCA,0.40499999999999997,0.14683323874382123,0.5829804055593529,0.40499999999999997,0.3857548034507555,0.3225806451612903
