Target,Model,Accuracy CV,St. Dev. CV,Precision CV,Recall CV,F1-Score CV,Accuracy
lsaE,LogisticRegression,0.7966666666666666,0.0040824829046386705,0.6346944444444444,0.7966666666666666,0.7065116279069767,0.7419354838709677
lsaE,LogisticRegression_Best,0.7969999999999999,0.09130169768410662,0.8233507727652464,0.7969999999999999,0.8014535464535465,0.6774193548387096
lsaE,LogisticRegression_PCA,0.7966666666666666,0.0040824829046386705,0.6346944444444444,0.7966666666666666,0.7065116279069767,0.7419354838709677
lsaE,LogisticRegression_Best_PCA,0.7563333333333333,0.022958900476963418,0.6278109903381642,0.7563333333333333,0.68595389107017,0.7096774193548387
lsaE,Ridge,0.7966666666666666,0.0040824829046386705,0.6346944444444444,0.7966666666666666,0.7065116279069767,0.7419354838709677
lsaE,Ridge_Best,0.7966666666666666,0.0040824829046386705,0.6346944444444444,0.7966666666666666,0.7065116279069767,0.7419354838709677
lsaE,Ridge_PCA,0.7966666666666666,0.0040824829046386705,0.6346944444444444,0.7966666666666666,0.7065116279069767,0.7419354838709677
lsaE,Ridge_Best_PCA,0.7966666666666666,0.0040824829046386705,0.6346944444444444,0.7966666666666666,0.7065116279069767,0.7419354838709677
lsaE,DecisionTree,0.8370000000000001,0.028055500550001094,0.8477645502645503,0.8370000000000001,0.8376060153980565,0.7096774193548387
lsaE,DecisionTree_Best,0.8613333333333333,0.0627729595004445,0.8689122807017544,0.8613333333333333,0.852904428904429,0.6451612903225806
lsaE,DecisionTree_PCA,0.6913333333333334,0.11114255110742541,0.7372650375939849,0.6913333333333334,0.7053536093536092,0.5483870967741935
lsaE,DecisionTree_Best_PCA,0.7966666666666666,0.0040824829046386705,0.6346944444444444,0.7966666666666666,0.7065116279069767,0.7419354838709677
lsaE,K-nn,0.8373333333333333,0.026553928355539255,0.8538257575757576,0.8373333333333333,0.8034738342055416,0.7741935483870968
lsaE,K-nn_Best,0.8856666666666666,0.07651869778760687,0.8804201173222912,0.8856666666666666,0.8746173595946709,0.7096774193548387
lsaE,K-nn_PCA,0.829,0.048826222462934804,0.8251102641320033,0.829,0.7988636425023267,0.8064516129032258
lsaE,K-nn_Best_PCA,0.8370000000000001,0.06881860213634103,0.8292999874521613,0.8370000000000001,0.8167756529724766,0.7741935483870968
lsaE,RandomForest,0.8693333333333333,0.05524289798496977,0.874301948051948,0.8693333333333333,0.8525105427544452,0.8064516129032258
lsaE,RandomForest_Best,0.8936666666666667,0.05101633725255733,0.893791847041847,0.8936666666666667,0.8886003256003256,0.6774193548387096
lsaE,RandomForest_PCA,0.8046666666666666,0.03194439613522917,0.7348888888888889,0.8046666666666666,0.7515656565656567,0.7741935483870968
lsaE,RandomForest_Best_PCA,0.805,0.04732863826479692,0.7660483405483406,0.805,0.7637104494421568,0.7741935483870968
lsaE,BernoulliNB,0.8616666666666667,0.08261019576568286,0.8927559523809524,0.8616666666666667,0.868466303344352,0.8064516129032258
lsaE,BernoulliNB_Best,0.8939999999999999,0.0659427361006839,0.9101120448179273,0.8939999999999999,0.8972259219820196,0.8064516129032258
lsaE,BernoulliNB_PCA,0.674,0.07119300839579996,0.6446481891002015,0.674,0.6565348355348355,0.7096774193548387
lsaE,BernoulliNB_Best_PCA,0.7966666666666666,0.0040824829046386705,0.6346944444444444,0.7966666666666666,0.7065116279069767,0.7419354838709677
lsaE,GaussianNB,0.7393333333333334,0.044442222166663915,0.7280218662598525,0.7393333333333334,0.7257688185047967,0.7741935483870968
lsaE,GaussianNB_Best,0.7310000000000001,0.04555338748228405,0.7151051995931859,0.7310000000000001,0.7149426076785859,0.7741935483870968
lsaE,GaussianNB_PCA,0.30033333333333334,0.02745501370929867,0.5848611111111112,0.30033333333333334,0.3135920029773104,0.2903225806451613
lsaE,GaussianNB_Best_PCA,0.3506666666666667,0.11928304340703437,0.5674836601307189,0.3506666666666667,0.3662106287293694,0.7096774193548387
