Target,Model,Accuracy CV,St. Dev. CV,Precision CV,Recall CV,F1-Score CV,Accuracy
mf3,LogisticRegression,0.6666666666666666,0.014605934866804442,0.44465777777777776,0.6666666666666666,0.5334262485481998,0.7096774193548387
mf3,LogisticRegression_Best,0.659,0.03681183384607608,0.5489630917874397,0.659,0.5545308765308765,0.7096774193548387
mf3,LogisticRegression_PCA,0.6666666666666666,0.014605934866804442,0.44465777777777776,0.6666666666666666,0.5334262485481998,0.7096774193548387
mf3,LogisticRegression_Best_PCA,0.6506666666666667,0.03879576150961742,0.6114942719116632,0.6506666666666667,0.5946990896043527,0.7096774193548387
mf3,Ridge,0.6666666666666666,0.014605934866804442,0.44465777777777776,0.6666666666666666,0.5334262485481998,0.7096774193548387
mf3,Ridge_Best,0.667,0.025828494170414034,0.5509341062801931,0.667,0.5586772179942912,0.7096774193548387
mf3,Ridge_PCA,0.6666666666666666,0.014605934866804442,0.44465777777777776,0.6666666666666666,0.5334262485481998,0.7096774193548387
mf3,Ridge_Best_PCA,0.667,0.025828494170414034,0.5509341062801931,0.667,0.5586772179942912,0.7096774193548387
mf3,DecisionTree,0.6746666666666666,0.026127890589687227,0.6874961095549331,0.6746666666666666,0.6710941450706156,0.6774193548387096
mf3,DecisionTree_Best,0.7796666666666667,0.05802681372530385,0.7869190251326476,0.7796666666666667,0.7693763617786389,0.6451612903225806
mf3,DecisionTree_PCA,0.5850000000000001,0.066783231428256,0.5803418803418803,0.5850000000000001,0.5745805545805547,0.6451612903225806
mf3,DecisionTree_Best_PCA,0.6666666666666666,0.014605934866804442,0.44465777777777776,0.6666666666666666,0.5334262485481998,0.7096774193548387
mf3,K-nn,0.619,0.08764575162423888,0.6223746031746031,0.619,0.6038170428405722,0.7419354838709677
mf3,K-nn_Best,0.7230000000000001,0.043210081128263494,0.7663026427962489,0.7230000000000001,0.6904855493090787,0.8064516129032258
mf3,K-nn_PCA,0.6336666666666667,0.08771418230695523,0.6301600373482728,0.6336666666666667,0.6144632594415876,0.7741935483870968
mf3,K-nn_Best_PCA,0.6990000000000001,0.060622694686982635,0.6670906163080076,0.6990000000000001,0.6378239488664736,0.8709677419354839
mf3,RandomForest,0.7563333333333333,0.022958900476963414,0.7860101454609464,0.7563333333333333,0.7303197649295653,0.8064516129032258
mf3,RandomForest_Best,0.7966666666666666,0.036757463338907254,0.8216195033037138,0.7966666666666666,0.7766739076770036,0.8064516129032258
mf3,RandomForest_PCA,0.6176666666666667,0.02254871270038368,0.586280701754386,0.6176666666666667,0.5948204566065347,0.6451612903225806
mf3,RandomForest_Best_PCA,0.6666666666666666,0.014605934866804442,0.44465777777777776,0.6666666666666666,0.5334262485481998,0.7096774193548387
mf3,BernoulliNB,0.7636666666666667,0.042666666666666644,0.8061202797202798,0.7636666666666667,0.7558700876771052,0.7741935483870968
mf3,BernoulliNB_Best,0.7386666666666668,0.08029390457009243,0.8016887445887445,0.7386666666666668,0.7299952341198135,0.7096774193548387
mf3,BernoulliNB_PCA,0.5203333333333333,0.07057226398837184,0.47995374383671596,0.5203333333333333,0.49676265017441484,0.6451612903225806
mf3,BernoulliNB_Best_PCA,0.6666666666666666,0.014605934866804442,0.44465777777777776,0.6666666666666666,0.5334262485481998,0.7096774193548387
mf3,GaussianNB,0.46933333333333344,0.11937615618986341,0.5518090928679164,0.46933333333333344,0.4771869969111348,0.5161290322580645
mf3,GaussianNB_Best,0.587,0.13808371052050677,0.5427688060731539,0.587,0.49682315896109,0.7096774193548387
mf3,GaussianNB_PCA,0.4956666666666667,0.11330195644089,0.49454412010418203,0.4956666666666667,0.4703264627264628,0.7096774193548387
mf3,GaussianNB_Best_PCA,0.6183333333333334,0.07405703507732701,0.5437686680469289,0.6183333333333334,0.5645705705705706,0.7096774193548387
