,Target,Model,Accuracy,Precision,Recall,F1-Score,CV
0,Eritromicina,Logistic Regression,0.6451612903225806,0.4162330905306972,0.6451612903225806,0.5060088551549652,0.512
1,Eritromicina,Logistic Regression_Best,0.6451612903225806,0.4162330905306972,0.6451612903225806,0.5060088551549652,0.512
2,Eritromicina,Ridge,0.6451612903225806,0.4162330905306972,0.6451612903225806,0.5060088551549652,0.512
3,Eritromicina,Ridge_Best,0.6451612903225806,0.4162330905306972,0.6451612903225806,0.5060088551549652,0.512
4,Eritromicina,Decision Tree,0.6774193548387096,0.74085117918135,0.6774193548387096,0.6835185687178096,0.5596666666666666
5,Eritromicina,Decision Tree_Best,0.6774193548387096,0.74085117918135,0.6774193548387096,0.6835185687178096,0.5923333333333333
6,Eritromicina,K-nn,0.45161290322580644,0.46222410865874364,0.45161290322580644,0.45650375804653504,0.4793333333333333
7,Eritromicina,K-nn_Best,0.6129032258064516,0.6738953645974519,0.6129032258064516,0.6202222824613716,0.5923333333333334
8,Eritromicina,Random Forest,0.5161290322580645,0.5631720430107526,0.5161290322580645,0.5263696876600104,0.561
9,Eritromicina,Random Forest_Best,0.7419354838709677,0.7774193548387097,0.7419354838709677,0.7474496829335538,0.5776666666666668
10,Eritromicina,BernoulliNB,0.6451612903225806,0.4162330905306972,0.6451612903225806,0.5060088551549652,0.512
11,Eritromicina,BernoulliNB_Best,0.6451612903225806,0.4162330905306972,0.6451612903225806,0.5060088551549652,0.512
12,Eritromicina,GaussianNB,0.6129032258064516,0.7057159026598755,0.6129032258064516,0.6161290322580646,0.5446666666666667
13,Eritromicina,GaussianNB_Best,0.6451612903225806,0.7233250620347395,0.6451612903225806,0.6503522432332222,0.6016666666666667
14,Tetraciclina,Logistic Regression,0.3548387096774194,0.1259105098855359,0.3548387096774194,0.1858678955453149,0.512
15,Tetraciclina,Logistic Regression_Best,0.6451612903225806,0.6528013582342954,0.6451612903225806,0.6483259610889344,0.6413333333333334
16,Tetraciclina,Ridge,0.3548387096774194,0.1259105098855359,0.3548387096774194,0.1858678955453149,0.512
17,Tetraciclina,Ridge_Best,0.3548387096774194,0.1259105098855359,0.3548387096774194,0.1858678955453149,0.512
18,Tetraciclina,Decision Tree,0.5483870967741935,0.6069395500135538,0.5483870967741935,0.5569259962049335,0.6583333333333333
19,Tetraciclina,Decision Tree_Best,0.5483870967741935,0.5854838709677419,0.5483870967741935,0.5580369451337194,0.683
20,Tetraciclina,K-nn,0.7096774193548387,0.758736559139785,0.7096774193548387,0.7158218125960061,0.6260000000000001
21,Tetraciclina,K-nn_Best,0.7096774193548387,0.7340742748712388,0.7096774193548387,0.7153269398430688,0.6993333333333334
22,Tetraciclina,Random Forest,0.6451612903225806,0.6935483870967742,0.6451612903225806,0.6526711042840075,0.609
23,Tetraciclina,Random Forest_Best,0.6774193548387096,0.74085117918135,0.6774193548387096,0.6835185687178096,0.6746666666666667
24,Tetraciclina,BernoulliNB,0.3548387096774194,0.1259105098855359,0.3548387096774194,0.1858678955453149,0.512
25,Tetraciclina,BernoulliNB_Best,0.3548387096774194,0.1259105098855359,0.3548387096774194,0.1858678955453149,0.512
26,Tetraciclina,GaussianNB,0.7741935483870968,0.7706605222734254,0.7741935483870968,0.7715709415158668,0.5996666666666667
27,Tetraciclina,GaussianNB_Best,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.7419354838709679,0.6416666666666666
28,Gentamicina,Logistic Regression,0.5483870967741935,0.3007284079084287,0.5483870967741935,0.38844086021505375,0.6423333333333333
