,Target,Model,Accuracy,Precision,Recall,F1-Score,CV
0,Eritromicina,Logistic Regression_PCA,0.6451612903225806,0.4162330905306972,0.6451612903225806,0.5060088551549652,0.512
1,Eritromicina,Logistic Regression_Best_PCA,0.6774193548387096,0.7781550650820599,0.6774193548387096,0.6801075268817204,0.6013333333333333
2,Eritromicina,Ridge_PCA,0.6451612903225806,0.4162330905306972,0.6451612903225806,0.5060088551549652,0.512
3,Eritromicina,Ridge_Best_PCA,0.6451612903225806,0.4162330905306972,0.6451612903225806,0.5060088551549652,0.512
4,Eritromicina,Decision Tree_PCA,0.5806451612903226,0.6283602150537634,0.5806451612903226,0.5895203959720089,0.5533333333333333
5,Eritromicina,Decision Tree_Best_PCA,0.6129032258064516,0.6494623655913978,0.6129032258064516,0.6211745244003308,0.602
6,Eritromicina,K-nn_PCA,0.4838709677419355,0.5034463744141164,0.4838709677419355,0.4917940011318619,0.5116666666666667
7,Eritromicina,K-nn_Best_PCA,0.6451612903225806,0.6707779886148008,0.6451612903225806,0.6520662598081952,0.5843333333333333
8,Eritromicina,Random Forest_PCA,0.7419354838709677,0.7774193548387097,0.7419354838709677,0.7474496829335538,0.5513333333333332
9,Eritromicina,Random Forest_Best_PCA,0.7419354838709677,0.7774193548387097,0.7419354838709677,0.7474496829335538,0.5853333333333334
10,Eritromicina,BernoulliNB_PCA,0.5161290322580645,0.5846429556106976,0.5161290322580645,0.5232076044089392,0.422
11,Eritromicina,BernoulliNB_Best_PCA,0.6451612903225806,0.4162330905306972,0.6451612903225806,0.5060088551549652,0.512
12,Eritromicina,GaussianNB_PCA,0.7096774193548387,0.7340742748712388,0.7096774193548387,0.7153269398430688,0.545
13,Eritromicina,GaussianNB_Best_PCA,0.7096774193548387,0.7340742748712388,0.7096774193548387,0.7153269398430688,0.553
14,Tetraciclina,Logistic Regression_PCA,0.3548387096774194,0.1259105098855359,0.3548387096774194,0.1858678955453149,0.512
15,Tetraciclina,Logistic Regression_Best_PCA,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.7419354838709679,0.649
16,Tetraciclina,Ridge_PCA,0.3548387096774194,0.1259105098855359,0.3548387096774194,0.1858678955453149,0.512
17,Tetraciclina,Ridge_Best_PCA,0.3548387096774194,0.1259105098855359,0.3548387096774194,0.1858678955453149,0.512
18,Tetraciclina,Decision Tree_PCA,0.6451612903225806,0.6528013582342954,0.6451612903225806,0.6483259610889344,0.6093333333333333
19,Tetraciclina,Decision Tree_Best_PCA,0.5483870967741935,0.8012903225806451,0.5483870967741935,0.5146126275158533,0.6900000000000001
20,Tetraciclina,K-nn_PCA,0.6774193548387096,0.74085117918135,0.6774193548387096,0.6835185687178096,0.6743333333333335
21,Tetraciclina,K-nn_Best_PCA,0.6451612903225806,0.7233250620347395,0.6451612903225806,0.6503522432332222,0.673
22,Tetraciclina,Random Forest_PCA,0.6129032258064516,0.6297215329473395,0.6129032258064516,0.6188455008488963,0.608
23,Tetraciclina,Random Forest_Best_PCA,0.6451612903225806,0.7233250620347395,0.6451612903225806,0.6503522432332222,0.6983333333333334
24,Tetraciclina,BernoulliNB_PCA,0.7096774193548387,0.7340742748712388,0.7096774193548387,0.7153269398430688,0.6026666666666667
25,Tetraciclina,BernoulliNB_Best_PCA,0.7096774193548387,0.7340742748712388,0.7096774193548387,0.7153269398430688,0.6106666666666667
26,Tetraciclina,GaussianNB_PCA,0.5806451612903226,0.6875366568914956,0.5806451612903226,0.5806451612903226,0.6743333333333335
27,Tetraciclina,GaussianNB_Best_PCA,0.5806451612903226,0.6875366568914956,0.5806451612903226,0.5806451612903226,0.6906666666666668
28,Gentamicina,Logistic Regression_PCA,0.5483870967741935,0.3007284079084287,0.5483870967741935,0.38844086021505375,0.6423333333333333
29,Gentamicina,Logistic Regression_Best_PCA,0.5483870967741935,0.3007284079084287,0.5483870967741935,0.38844086021505375,0.6423333333333333
30,Gentamicina,Ridge_PCA,0.5483870967741935,0.3007284079084287,0.5483870967741935,0.38844086021505375,0.6423333333333333
31,Gentamicina,Ridge_Best_PCA,0.6129032258064516,0.6160589060308556,0.6129032258064516,0.589149560117302,0.667
32,Gentamicina,Decision Tree_PCA,0.5806451612903226,0.5836021505376344,0.5806451612903226,0.5815215559375737,0.6336666666666667
33,Gentamicina,Decision Tree_Best_PCA,0.45161290322580644,0.4548387096774194,0.45161290322580644,0.4527589577645195,0.6586666666666667
34,Gentamicina,K-nn_PCA,0.6129032258064516,0.6097906055461234,0.6129032258064516,0.608767576509512,0.6186666666666667
35,Gentamicina,K-nn_Best_PCA,0.6774193548387096,0.6817204301075269,0.6774193548387096,0.6675155631013016,0.651
36,Gentamicina,Random Forest_PCA,0.5483870967741935,0.5432937181663838,0.5483870967741935,0.5435621725944307,0.6913333333333334
37,Gentamicina,Random Forest_Best_PCA,0.5483870967741935,0.5432937181663838,0.5483870967741935,0.5435621725944307,0.6753333333333333
38,Gentamicina,BernoulliNB_PCA,0.41935483870967744,0.2640382317801673,0.41935483870967744,0.3240469208211144,0.6426666666666667
39,Gentamicina,BernoulliNB_Best_PCA,0.5483870967741935,0.3007284079084287,0.5483870967741935,0.38844086021505375,0.6823333333333333
40,Gentamicina,GaussianNB_PCA,0.6451612903225806,0.6573597180807808,0.6451612903225806,0.6451612903225806,0.6013333333333334
41,Gentamicina,GaussianNB_Best_PCA,0.5483870967741935,0.528364849833148,0.5483870967741935,0.4379382889200561,0.6753333333333333
42,Clindamicina,Logistic Regression_PCA,0.6774193548387096,0.4588969823100936,0.6774193548387096,0.5471464019851118,0.748
